ticker,exchange,eps_pct_diff_surp,asof_date,act_rpt_code
UGI,NYSE,21.33,2017-02-01,AMC
UIS,NYSE,9.09,2017-01-26,AMC
UNH,NYSE,1.93,2017-01-17,BTO
KMPR,NYSE,33.33,2017-02-09,AMC
UNM,NYSE,2.04,2017-02-01,AMC
UNP,NYSE,3.73,2017-01-19,BTO
UNT,NYSE,228.57,2017-02-23,BTO
USG,NYSE,25.71,2017-02-01,BTO
USM,NYSE,12.5,2017-02-24,BTO
UTL,NYSE,1.39,2017-02-02,BTO
VMI,NYSE,8.78,2017-02-21,AMC
VAR,NYSE,-28.57,2017-01-25,AMC
CBS,NYSE,1.83,2017-02-15,AMC
VLO,NYSE,9.46,2017-01-31,BTO
VMC,NYSE,-16.87,2017-02-07,BTO
VLY,NYSE,5.56,2017-01-25,BTO
VNO,NYSE,-13.74,2017-02-14,None
VSH,NYSE,-14.29,2017-02-07,BTO
WBS,NYSE,9.09,2017-01-19,BTO
WEC,NYSE,-1.61,2017-02-01,BTO
WFC,NYSE,3.0,2017-01-13,BTO
WGL,NYSE,-2.36,2017-02-09,AMC
WHR,NYSE,-4.2,2017-01-26,BTO
WMB,NYSE,6.25,2017-02-15,AMC
WNC,NYSE,-2.56,2017-01-31,AMC
WR,NYSE,-7.32,2017-02-22,AMC
WRE,NYSE,-2.27,2017-02-16,AMC
WRI,NYSE,5.17,2017-02-21,AMC
WSO,NYSE,-6.9,2017-02-14,BTO
WST,NYSE,-1.82,2017-02-16,BTO
WWW,NYSE,3.13,2017-02-22,BTO
WY,NYSE,-6.67,2017-02-03,BTO
X,NYSE,2600.0,2017-01-31,AMC
XL,NYSE,38.24,2017-02-01,AMC
XOM,NYSE,25.0,2017-01-31,BTO
Y,NYSE,21.45,2017-02-22,AMC
CRY,NYSE,50.0,2017-02-15,AMC
CHK,NYSE,16.67,2017-02-23,BTO
DDR,NYSE,-3.23,2017-02-13,AMC
ELS,NYSE,1.25,2017-01-23,AMC
AGN,NYSE,2.9,2017-02-08,BTO
CB,NYSE,11.93,2017-01-31,AMC
ATR,NYSE,4.55,2017-02-09,AMC
MSL,NYSE,-7.69,2017-01-31,BTO
RCL,NYSE,0.82,2017-01-26,BTO
HR,NYSE,2.5,2017-02-15,AMC
RGA,NYSE,5.2,2017-01-30,AMC
RIG,NYSE,1475.0,2017-02-23,BTO
BDN,NYSE,6.06,2017-01-31,AMC
KGC,NYSE,-233.33,2017-02-15,AMC
CPT,NYSE,0.88,2017-02-07,AMC
SGY,NYSE,-24.81,2017-02-23,AMC
BWA,NYSE,1.19,2017-02-09,BTO
KOF,NYSE,8.97,2017-02-24,BTO
OKS,NYSE,-7.69,2017-02-27,AMC
BYD,NYSE,65.22,2017-02-14,AMC
CBL,NYSE,1.49,2017-02-01,AMC
DECK,NYSE,-3.07,2017-02-02,AMC
IT,NYSE,1.04,2017-02-02,BTO
HST,NYSE,7.89,2017-02-22,BTO
REG,NYSE,2.38,2017-02-08,AMC
AF,NYSE,-6.67,2017-01-25,AMC
MHO,NYSE,-28.72,2017-02-02,BTO
NFX,NYSE,28.95,2017-02-21,DMT
SPG,NYSE,15.94,2017-01-31,BTO
SU,NYSE,38.1,2017-02-09,AMC
SUI,NYSE,1.11,2017-02-23,BTO
TV,NYSE,-79.17,2017-02-23,AMC
CGI,NYSE,66.67,2017-02-01,AMC
EMN,NYSE,2.03,2017-01-26,AMC
MAA,NYSE,0.67,2017-02-01,AMC
PLT,NYSE,-9.84,2017-01-31,AMC
BZH,NYSE,-100.0,2017-02-09,BTO
MLM,NYSE,-6.63,2017-02-14,BTO
AKS,NYSE,257.14,2017-01-24,BTO
ALB,NYSE,4.0,2017-02-27,AMC
MAC,NYSE,0.86,2017-02-06,AMC
RYN,NYSE,66.67,2017-02-08,AMC
EXP,NYSE,1.74,2017-01-24,BTO
SSD,NYSE,-10.0,2017-02-02,AMC
FR,NYSE,2.7,2017-02-22,AMC
IMAX,NYSE,8.33,2017-02-23,AMC
FCH,NYSE,13.33,2017-02-23,BTO
NOK,NYSE,62.5,2017-02-03,None
GEO,NYSE,36.84,2017-02-22,BTO
RS,NYSE,12.0,2017-02-16,BTO
CPE,NYSE,-20.0,2017-02-27,AMC
KNX,NYSE,-6.45,2017-01-25,AMC
O,NYSE,2.67,2017-02-22,AMC
COF,NYSE,-9.37,2017-01-24,AMC
MCK,NYSE,2.71,2017-01-25,AMC
SWC,NYSE,-14.29,2017-02-16,BTO
STM,NYSE,6.67,2017-01-26,BTO
LMT,NYSE,6.91,2017-01-24,BTO
APU,NYSE,-7.77,2017-02-02,None
AGU,NYSE,-23.08,2017-02-09,AMC
LH,NYSE,0.94,2017-02-16,BTO
AFG,NYSE,22.22,2017-02-01,AMC
RMD,NYSE,4.29,2017-01-23,AMC
WAB,NYSE,-13.83,2017-02-21,BTO
FCX,NYSE,-21.88,2017-01-25,BTO
RNR,NYSE,105.63,2017-01-31,AMC
AVX,NYSE,5.0,2017-01-24,BTO
RWT,NYSE,10.0,2017-02-23,AMC
AXE,NYSE,6.5,2017-01-31,BTO
MD,NYSE,-5.0,2017-02-07,BTO
THG,NYSE,-128.93,2017-02-02,AMC
BAP,NYSE,8.91,2017-02-08,None
DO,NYSE,672.73,2017-02-13,BTO
RE,NYSE,121.86,2017-02-06,AMC
DST,NYSE,9.93,2017-01-26,BTO
EL,NYSE,5.17,2017-02-02,BTO
WAT,NYSE,4.25,2017-01-24,BTO
EME,NYSE,-13.25,2017-02-23,BTO
HIG,NYSE,12.5,2017-02-02,AMC
ITT,NYSE,14.29,2017-02-14,BTO
SPN,NYSE,2.63,2017-02-21,AMC
EIX,NYSE,5.21,2017-02-21,AMC
IRM,NYSE,11.11,2017-02-23,BTO
SPH,NYSE,-11.11,2017-02-02,BTO
CCJ,NYSE,189.47,2017-02-09,AMC
CRR,NYSE,62.86,2017-01-26,BTO
RPT,NYSE,-2.94,2017-02-21,AMC
TUP,NYSE,5.84,2017-02-01,BTO
GWR,NYSE,12.5,2017-02-08,BTO
TBI,NYSE,5.66,2017-02-08,AMC
FFG,NYSE,-5.56,2017-02-09,AMC
USNA,NYSE,-3.33,2017-02-07,AMC
CSV,NYSE,-20.0,2017-02-15,AMC
OCN,NYSE,55.56,2017-02-22,AMC
PAA,NYSE,-71.43,2017-02-07,AMC
TGI,NYSE,-18.55,2017-02-02,BTO
PAG,NYSE,4.6,2017-02-07,BTO
GEL,NYSE,-40.63,2017-02-16,BTO
NUS,NYSE,-1.25,2017-02-16,AMC
CNI,NYSE,1.09,2017-01-24,AMC
LAD,NYSE,-0.53,2017-02-15,BTO
NSP,NYSE,7.14,2017-02-13,BTO
DGX,NYSE,3.15,2017-01-26,BTO
KRC,NYSE,1.16,2017-02-07,AMC
MTH,NYSE,2.52,2017-02-01,BTO
NCR,NYSE,3.88,2017-02-09,AMC
OFG,NYSE,3.85,2017-01-31,BTO
IVZ,NYSE,3.51,2017-01-26,BTO
RIC,NYSE,-83.33,2017-02-21,BTO
FBC,NYSE,-10.91,2017-01-24,BTO
ALV,NYSE,-6.56,2017-02-02,BTO
ARE,NYSE,-0.7,2017-01-30,AMC
BXP,NYSE,2.67,2017-01-31,AMC
MS,NYSE,24.62,2017-01-17,BTO
SRT,NYSE,-36.36,2017-02-21,AMC
HLX,NYSE,16.67,2017-02-20,AMC
FLS,NYSE,10.77,2017-02-16,AMC
MT,NYSE,23.08,2017-02-11,None
PXD,NYSE,63.33,2017-02-07,AMC
SLG,NYSE,-0.69,2017-01-25,AMC
FDP,NYSE,420.0,2017-02-21,BTO
TSM,NYSE,5.17,2017-01-13,None
YUM,NYSE,9.72,2017-02-09,BTO
AMG,NYSE,2.7,2017-01-30,BTO
FE,NYSE,-2.56,2017-02-21,AMC
MTD,NYSE,3.33,2017-02-02,AMC
CBZ,NYSE,75.0,2017-02-16,BTO
AI,NYSE,-547.5,2017-02-07,AMC
URI,NYSE,16.09,2017-01-25,AMC
INGR,NYSE,2.45,2017-02-02,BTO
RAS,NYSE,-22.22,2017-02-24,BTO
ANH,NYSE,-14.29,2017-02-15,AMC
RBA,NYSE,11.11,2017-02-21,BTO
WDR,NYSE,17.07,2017-01-31,BTO
LHO,NYSE,-1.59,2017-02-22,AMC
LVLT,NYSE,36.36,2017-02-08,AMC
MFA,NYSE,-10.0,2017-02-16,BTO
FII,NYSE,1.96,2017-01-26,AMC
FMX,NYSE,-11.76,2017-02-27,BTO
LLL,NYSE,12.26,2017-01-26,BTO
AVB,NYSE,0.95,2017-02-01,AMC
GIL,NYSE,10.34,2017-02-23,BTO
HZO,NYSE,466.67,2017-01-24,BTO
CLS,NYSE,21.43,2017-01-26,AMC
EPD,NYSE,-3.12,2017-01-30,BTO
RSG,NYSE,3.64,2017-02-16,AMC
WM,NYSE,-2.6,2017-02-16,BTO
